housing,contact,month,duration,poutcome,y
yes,unknown,may,1389,unknown,2
yes,unknown,may,188,unknown,1
yes,unknown,may,180,unknown,1
no,unknown,may,48,unknown,1
yes,unknown,may,213,unknown,1
yes,unknown,may,583,unknown,1
yes,unknown,may,221,unknown,1
no,unknown,may,173,unknown,1
yes,unknown,may,426,unknown,1
no,unknown,may,287,unknown,1
yes,unknown,may,101,unknown,1
yes,unknown,may,203,unknown,1
yes,unknown,may,197,unknown,1
yes,unknown,may,257,unknown,1
no,unknown,may,124,unknown,1
yes,unknown,may,229,unknown,1
yes,unknown,may,55,unknown,1
yes,unknown,may,400,unknown,1
yes,unknown,may,197,unknown,1
yes,unknown,may,190,unknown,1
no,unknown,may,21,unknown,1
yes,unknown,may,514,unknown,1
yes,unknown,may,849,unknown,1
yes,unknown,may,194,unknown,1
no,unknown,may,144,unknown,1
yes,unknown,may,212,unknown,1
yes,unknown,may,286,unknown,1
yes,unknown,may,107,unknown,1
yes,unknown,may,247,unknown,1
yes,unknown,may,518,unknown,1
yes,unknown,may,364,unknown,1
no,unknown,may,178,unknown,1
no,unknown,may,98,unknown,1
yes,unknown,may,439,unknown,1
yes,unknown,may,79,unknown,1
yes,unknown,may,120,unknown,1
yes,unknown,may,127,unknown,1
no,unknown,may,175,unknown,1
yes,unknown,may,262,unknown,1
yes,unknown,may,61,unknown,1
yes,unknown,may,78,unknown,1
yes,unknown,may,143,unknown,1
yes,unknown,may,579,unknown,2
no,unknown,may,677,unknown,1
yes,unknown,may,345,unknown,1
yes,unknown,may,185,unknown,1
yes,unknown,may,100,unknown,1
yes,unknown,may,125,unknown,1
yes,unknown,may,193,unknown,1
yes,unknown,may,136,unknown,1
no,unknown,may,73,unknown,1
yes,unknown,may,528,unknown,1
yes,unknown,may,541,unknown,1
yes,unknown,may,163,unknown,1
yes,unknown,may,301,unknown,1
no,unknown,may,46,unknown,1
yes,unknown,may,204,unknown,1
yes,unknown,may,98,unknown,1
yes,unknown,may,71,unknown,1
yes,unknown,may,157,unknown,1
yes,unknown,may,243,unknown,1
yes,unknown,may,186,unknown,1
yes,unknown,may,579,unknown,1
yes,unknown,may,163,unknown,1
yes,unknown,may,610,unknown,1
yes,unknown,may,2033,unknown,1
yes,unknown,may,85,unknown,1
no,unknown,may,114,unknown,1
yes,unknown,may,114,unknown,1
yes,unknown,may,57,unknown,1
yes,unknown,may,238,unknown,1
yes,unknown,may,93,unknown,1
yes,unknown,may,128,unknown,1
yes,unknown,may,107,unknown,1
yes,unknown,may,181,unknown,1
yes,unknown,may,303,unknown,1
yes,unknown,may,558,unknown,1
yes,unknown,may,270,unknown,1
yes,unknown,may,228,unknown,1
yes,unknown,may,99,unknown,1
yes,unknown,may,240,unknown,1
no,unknown,may,673,unknown,2
no,unknown,may,233,unknown,1
yes,unknown,may,1056,unknown,1
yes,unknown,may,250,unknown,1
yes,unknown,may,252,unknown,1
no,unknown,may,138,unknown,1
yes,unknown,may,130,unknown,1
yes,unknown,may,412,unknown,1
yes,unknown,may,179,unknown,1
yes,unknown,may,19,unknown,1
yes,unknown,may,458,unknown,1
yes,unknown,may,717,unknown,1
yes,unknown,may,313,unknown,1
yes,unknown,may,683,unknown,1
yes,unknown,may,1077,unknown,1
yes,unknown,may,416,unknown,1
yes,unknown,may,146,unknown,1
yes,unknown,may,167,unknown,1
yes,unknown,may,315,unknown,1
no,unknown,may,140,unknown,1
yes,unknown,may,346,unknown,1
yes,unknown,may,562,unknown,1
yes,unknown,may,172,unknown,1
yes,unknown,may,217,unknown,1
yes,unknown,may,142,unknown,1
yes,unknown,may,67,unknown,1
yes,unknown,may,291,unknown,1
yes,unknown,may,309,unknown,1
yes,unknown,may,248,unknown,1
no,unknown,may,98,unknown,1
yes,unknown,may,256,unknown,1
yes,unknown,may,82,unknown,1
yes,unknown,may,577,unknown,1
yes,unknown,may,286,unknown,1
yes,unknown,may,477,unknown,1
yes,unknown,may,611,unknown,1
yes,unknown,may,471,unknown,1
yes,unknown,may,381,unknown,1
yes,unknown,may,42,unknown,1
yes,unknown,may,251,unknown,1
yes,unknown,may,408,unknown,1
yes,unknown,may,215,unknown,1
yes,unknown,may,287,unknown,1
yes,unknown,may,216,unknown,1
no,unknown,may,366,unknown,1
yes,unknown,may,210,unknown,1
yes,unknown,may,288,unknown,1
yes,unknown,may,168,unknown,1
no,unknown,may,338,unknown,1
no,unknown,may,410,unknown,1
no,unknown,may,177,unknown,1
yes,unknown,may,127,unknown,1
yes,unknown,may,357,unknown,1
yes,unknown,may,175,unknown,1
yes,unknown,may,300,unknown,1
no,unknown,may,136,unknown,1
yes,unknown,may,1419,unknown,1
yes,unknown,may,125,unknown,1
yes,unknown,may,213,unknown,1
yes,unknown,may,27,unknown,1
no,unknown,may,238,unknown,1
yes,unknown,may,124,unknown,1
yes,unknown,may,18,unknown,1
yes,unknown,may,730,unknown,1
yes,unknown,may,746,unknown,1
no,unknown,may,121,unknown,1
yes,unknown,may,247,unknown,1
yes,unknown,may,40,unknown,1
yes,unknown,may,181,unknown,1
yes,unknown,may,79,unknown,1
yes,unknown,may,206,unknown,1
yes,unknown,may,389,unknown,1
yes,unknown,may,127,unknown,1
yes,unknown,may,702,unknown,1
no,unknown,may,151,unknown,1
yes,unknown,may,117,unknown,1
yes,unknown,may,232,unknown,1
no,unknown,may,408,unknown,1
yes,unknown,may,179,unknown,1
yes,unknown,may,39,unknown,1
yes,unknown,may,282,unknown,1
yes,unknown,may,714,unknown,1
yes,unknown,may,50,unknown,1
yes,unknown,may,181,unknown,1
yes,unknown,may,142,unknown,1
yes,unknown,may,227,unknown,1
yes,unknown,may,119,unknown,1
yes,unknown,may,361,unknown,1
yes,unknown,may,73,unknown,1
yes,unknown,may,67,unknown,1
yes,unknown,may,350,unknown,1
yes,unknown,may,332,unknown,1
yes,unknown,may,611,unknown,1
yes,unknown,may,113,unknown,1
yes,unknown,may,132,unknown,1
yes,unknown,may,58,unknown,1
yes,unknown,may,151,unknown,1
yes,unknown,may,89,unknown,1
yes,unknown,may,152,unknown,1
yes,unknown,may,611,unknown,1
yes,unknown,may,110,unknown,1
yes,unknown,may,463,unknown,1
yes,unknown,may,562,unknown,2
yes,unknown,may,962,unknown,1
yes,unknown,may,10,unknown,1
no,unknown,may,118,unknown,1
yes,unknown,may,92,unknown,1
yes,unknown,may,143,unknown,1
yes,unknown,may,189,unknown,1
no,unknown,may,234,unknown,1
yes,unknown,may,75,unknown,1
no,unknown,may,189,unknown,1
yes,unknown,may,621,unknown,1
yes,unknown,may,55,unknown,1
no,unknown,may,310,unknown,1
yes,unknown,may,156,unknown,1
yes,unknown,may,5,unknown,1
yes,unknown,may,225,unknown,1
yes,unknown,may,125,unknown,1
yes,unknown,may,2,unknown,1
yes,unknown,may,286,unknown,1
yes,unknown,may,164,unknown,1
yes,unknown,may,98,unknown,1
yes,unknown,may,742,unknown,1
yes,unknown,may,226,unknown,1
no,unknown,may,120,unknown,1
yes,unknown,may,362,unknown,1
yes,unknown,may,357,unknown,1
yes,unknown,may,200,unknown,1
yes,unknown,may,204,unknown,1
yes,unknown,may,126,unknown,1
yes,unknown,may,65,unknown,1
yes,unknown,may,107,unknown,1
yes,unknown,may,267,unknown,1
yes,unknown,may,248,unknown,1
yes,unknown,may,215,unknown,1
yes,unknown,may,209,unknown,1
yes,unknown,may,205,unknown,1
yes,unknown,may,83,unknown,1
yes,unknown,may,106,unknown,1
yes,unknown,may,189,unknown,1
yes,unknown,may,105,unknown,1
yes,unknown,may,106,unknown,1
yes,unknown,may,108,unknown,1
yes,unknown,may,311,unknown,1
yes,unknown,may,214,unknown,1
no,unknown,may,132,unknown,1
yes,unknown,may,358,unknown,1
yes,unknown,may,453,unknown,1
yes,unknown,may,364,unknown,1
no,unknown,may,136,unknown,1
yes,unknown,may,386,unknown,1
yes,unknown,may,173,unknown,1
yes,unknown,may,241,unknown,1
yes,unknown,may,224,unknown,1
no,unknown,may,148,unknown,1
yes,unknown,may,196,unknown,1
no,unknown,may,111,unknown,1
yes,unknown,may,231,unknown,1
yes,unknown,may,316,unknown,1
yes,unknown,may,216,unknown,1
yes,unknown,may,240,unknown,1
no,unknown,may,669,unknown,1
yes,unknown,may,425,unknown,1
yes,unknown,may,143,unknown,1
yes,unknown,may,174,unknown,1
yes,unknown,may,313,unknown,1
yes,unknown,may,135,unknown,1
yes,unknown,may,146,unknown,1
yes,unknown,may,152,unknown,1
no,unknown,may,402,unknown,1
yes,unknown,may,213,unknown,1
yes,unknown,may,144,unknown,1
yes,unknown,may,124,unknown,1
yes,unknown,may,183,unknown,1
yes,unknown,may,325,unknown,1
yes,unknown,may,39,unknown,1
no,unknown,may,503,unknown,1
yes,unknown,may,95,unknown,1
yes,unknown,may,680,unknown,1
yes,unknown,may,421,unknown,1
yes,unknown,may,174,unknown,1
yes,unknown,may,113,unknown,1
yes,unknown,may,808,unknown,1
yes,unknown,may,198,unknown,1
yes,unknown,may,195,unknown,1
no,unknown,may,347,unknown,1
yes,unknown,may,208,unknown,1
yes,unknown,may,404,unknown,1
yes,unknown,may,396,unknown,1
yes,unknown,may,216,unknown,1
yes,unknown,may,98,unknown,1
yes,unknown,may,350,unknown,1
yes,unknown,may,114,unknown,1
yes,unknown,may,88,unknown,1
yes,unknown,may,379,unknown,1
yes,unknown,may,190,unknown,1
yes,unknown,may,158,unknown,1
yes,unknown,may,102,unknown,1
yes,unknown,may,306,unknown,1
yes,unknown,may,218,unknown,1
yes,unknown,may,54,unknown,1
yes,unknown,may,344,unknown,1
yes,unknown,may,195,unknown,1
no,unknown,may,652,unknown,1
yes,unknown,may,286,unknown,1
yes,unknown,may,189,unknown,1
yes,unknown,may,83,unknown,1
no,unknown,may,184,unknown,1
yes,unknown,may,235,unknown,1
yes,unknown,may,290,unknown,1
yes,unknown,may,232,unknown,1
yes,unknown,may,133,unknown,1
yes,unknown,may,318,unknown,1
no,unknown,may,260,unknown,1
no,unknown,may,437,unknown,1
yes,unknown,may,402,unknown,1
yes,unknown,may,85,unknown,1
yes,unknown,may,125,unknown,1
yes,unknown,may,501,unknown,1
yes,unknown,may,1201,unknown,2
yes,unknown,may,253,unknown,1
yes,unknown,may,1030,unknown,2
yes,unknown,may,149,unknown,1
yes,unknown,may,114,unknown,1
yes,unknown,may,243,unknown,1
yes,unknown,may,769,unknown,1
yes,unknown,may,135,unknown,1
yes,unknown,may,231,unknown,1
no,unknown,may,76,unknown,1
no,unknown,may,199,unknown,1
yes,unknown,may,152,unknown,1
yes,unknown,may,124,unknown,1
yes,unknown,may,424,unknown,1
yes,unknown,may,43,unknown,1
yes,unknown,may,154,unknown,1
no,unknown,may,203,unknown,1
no,unknown,may,326,unknown,1
no,unknown,may,393,unknown,1
yes,unknown,may,241,unknown,1
yes,unknown,may,483,unknown,1
yes,unknown,may,259,unknown,1
yes,unknown,may,227,unknown,1
yes,unknown,may,673,unknown,1
yes,unknown,may,576,unknown,1
yes,unknown,may,180,unknown,1
yes,unknown,may,168,unknown,1
yes,unknown,may,90,unknown,1
no,unknown,may,505,unknown,1
yes,unknown,may,245,unknown,1
yes,unknown,may,186,unknown,1
yes,unknown,may,623,unknown,1
yes,unknown,may,496,unknown,1
yes,unknown,may,118,unknown,1
yes,unknown,may,342,unknown,1
yes,unknown,may,225,unknown,1
yes,unknown,may,185,unknown,1
yes,unknown,may,196,unknown,1
yes,unknown,may,276,unknown,1
yes,unknown,may,76,unknown,1
yes,unknown,may,87,unknown,1
yes,unknown,may,195,unknown,1
yes,unknown,may,744,unknown,1
yes,unknown,may,765,unknown,1
yes,unknown,may,262,unknown,1
yes,unknown,may,119,unknown,1
yes,unknown,may,198,unknown,1
yes,unknown,may,150,unknown,1
no,unknown,may,241,unknown,1
yes,unknown,may,181,unknown,1
no,unknown,may,196,unknown,1
yes,unknown,may,149,unknown,1
yes,unknown,may,246,unknown,1
yes,unknown,may,112,unknown,1
yes,unknown,may,309,unknown,1
yes,unknown,may,278,unknown,1
yes,unknown,may,140,unknown,1
yes,unknown,may,136,unknown,1
yes,unknown,may,1623,unknown,2
yes,unknown,may,101,unknown,1
yes,unknown,may,144,unknown,1
yes,unknown,may,238,unknown,1
yes,unknown,may,354,unknown,1
no,unknown,may,79,unknown,1
yes,unknown,may,187,unknown,1
yes,unknown,may,451,unknown,1
yes,unknown,may,159,unknown,1
yes,unknown,may,409,unknown,1
yes,unknown,may,170,unknown,1
yes,unknown,may,608,unknown,2
no,unknown,may,243,unknown,1
yes,unknown,may,145,unknown,1
no,unknown,may,112,unknown,1
yes,unknown,may,262,unknown,1
yes,unknown,may,124,unknown,1
yes,unknown,may,53,unknown,1
yes,unknown,may,134,unknown,1
no,unknown,may,204,unknown,1
yes,unknown,may,186,unknown,1
yes,unknown,may,678,unknown,1
yes,unknown,may,182,unknown,1
yes,unknown,may,162,unknown,1
yes,unknown,may,27,unknown,1
yes,unknown,may,699,unknown,1
yes,unknown,may,43,unknown,1
yes,unknown,may,97,unknown,1
no,unknown,may,1677,unknown,2
yes,unknown,may,283,unknown,1
yes,unknown,may,323,unknown,1
yes,unknown,may,82,unknown,1
yes,unknown,may,310,unknown,1
yes,unknown,may,185,unknown,1
yes,unknown,may,47,unknown,1
yes,unknown,may,145,unknown,1
yes,unknown,may,204,unknown,1
no,unknown,may,187,unknown,1
yes,unknown,may,30,unknown,1
no,unknown,may,472,unknown,1
yes,unknown,may,448,unknown,1
yes,unknown,may,264,unknown,1
yes,unknown,may,169,unknown,1
yes,unknown,may,288,unknown,1
yes,unknown,may,176,unknown,1
yes,unknown,may,215,unknown,1
yes,unknown,may,337,unknown,1
no,unknown,may,278,unknown,1
yes,unknown,may,188,unknown,1
yes,unknown,may,174,unknown,1
yes,unknown,may,226,unknown,1
yes,unknown,may,190,unknown,1
yes,unknown,may,111,unknown,1
yes,unknown,may,164,unknown,1
yes,unknown,may,157,unknown,1
no,unknown,may,46,unknown,1
yes,unknown,may,374,unknown,1
yes,unknown,may,349,unknown,1
yes,unknown,may,325,unknown,1
yes,unknown,may,233,unknown,1
yes,unknown,may,531,unknown,1
yes,unknown,may,153,unknown,1
no,unknown,may,80,unknown,1
yes,unknown,may,232,unknown,1
yes,unknown,may,118,unknown,1
yes,unknown,may,190,unknown,1
yes,unknown,may,918,unknown,2
yes,unknown,may,238,unknown,1
yes,unknown,may,82,unknown,1
yes,unknown,may,198,unknown,1
no,unknown,may,160,unknown,1
yes,unknown,may,211,unknown,1
yes,unknown,may,120,unknown,1
yes,unknown,may,136,unknown,1
yes,unknown,may,269,unknown,1
no,unknown,may,157,unknown,1
yes,unknown,may,128,unknown,1
yes,unknown,may,211,unknown,1
yes,unknown,may,267,unknown,1
yes,unknown,may,371,unknown,1
yes,unknown,may,288,unknown,1
yes,unknown,may,221,unknown,1
yes,unknown,may,427,unknown,1
yes,unknown,may,310,unknown,1
no,unknown,may,158,unknown,1
yes,unknown,may,604,unknown,1
yes,unknown,may,198,unknown,1
yes,unknown,may,145,unknown,1
yes,unknown,may,247,unknown,1
yes,unknown,may,179,unknown,1
yes,unknown,may,73,unknown,1
yes,unknown,may,263,unknown,1
yes,unknown,may,13,unknown,1
yes,unknown,may,79,unknown,1
yes,unknown,may,416,unknown,1
yes,unknown,may,162,unknown,1
yes,unknown,may,129,unknown,1
yes,unknown,may,150,unknown,1
yes,unknown,may,43,unknown,1
yes,unknown,may,191,unknown,1
yes,unknown,may,26,unknown,1
yes,unknown,may,250,unknown,1
yes,unknown,may,146,unknown,1
yes,unknown,may,416,unknown,1
yes,unknown,may,121,unknown,1
yes,unknown,may,114,unknown,1
yes,unknown,may,289,unknown,1
yes,unknown,may,225,unknown,1
yes,unknown,may,123,unknown,1
yes,unknown,may,130,unknown,1
yes,unknown,may,161,unknown,1
yes,unknown,may,149,unknown,1
yes,unknown,may,268,unknown,1
yes,unknown,may,259,unknown,1
no,unknown,may,26,unknown,1
yes,unknown,may,153,unknown,1
yes,unknown,may,424,unknown,1
yes,unknown,may,179,unknown,1
yes,unknown,may,97,unknown,1
yes,unknown,may,383,unknown,1
yes,unknown,may,440,unknown,1
yes,unknown,may,23,unknown,1
no,unknown,may,195,unknown,1
yes,unknown,may,1297,unknown,2
yes,unknown,may,87,unknown,1
yes,unknown,may,427,unknown,1
yes,unknown,may,189,unknown,1
no,unknown,may,195,unknown,1
no,unknown,may,179,unknown,1
yes,unknown,may,179,unknown,1
no,unknown,may,69,unknown,1
yes,unknown,may,105,unknown,1
yes,unknown,may,266,unknown,1
yes,unknown,may,524,unknown,1
yes,unknown,may,96,unknown,1
yes,unknown,may,155,unknown,1
yes,unknown,may,162,unknown,1
yes,unknown,may,352,unknown,1
yes,unknown,may,76,unknown,1
yes,unknown,may,154,unknown,1
yes,unknown,may,310,unknown,1
yes,unknown,may,390,unknown,1
yes,unknown,may,369,unknown,1
yes,unknown,may,112,unknown,1
yes,unknown,may,341,unknown,1
yes,unknown,may,79,unknown,1
yes,unknown,may,140,unknown,1
no,unknown,may,315,unknown,1
yes,unknown,may,262,unknown,1
no,unknown,may,174,unknown,1
yes,unknown,may,138,unknown,1
no,unknown,may,526,unknown,1
no,unknown,may,135,unknown,1
yes,unknown,may,36,unknown,1
yes,unknown,may,1906,unknown,1
yes,unknown,may,219,unknown,1
yes,unknown,may,147,unknown,1
yes,unknown,may,407,unknown,1
yes,unknown,may,121,unknown,1
yes,unknown,may,209,unknown,1
no,unknown,may,92,unknown,1
yes,unknown,may,208,unknown,1
yes,unknown,may,193,unknown,1
yes,unknown,may,144,unknown,1
yes,unknown,may,65,unknown,1
yes,unknown,may,339,unknown,1
yes,unknown,may,285,unknown,1
yes,unknown,may,231,unknown,1
yes,unknown,may,168,unknown,1
yes,unknown,may,278,unknown,1
yes,unknown,may,389,unknown,1
yes,unknown,may,158,unknown,1
yes,unknown,may,145,unknown,1
yes,unknown,may,78,unknown,1
no,unknown,may,142,unknown,1
yes,unknown,may,87,unknown,1
yes,unknown,may,147,unknown,1
yes,unknown,may,289,unknown,1
yes,unknown,may,703,unknown,2
yes,unknown,may,170,unknown,1
yes,unknown,may,802,unknown,1
yes,unknown,may,381,unknown,1
yes,unknown,may,218,unknown,1
yes,unknown,may,57,unknown,1
yes,unknown,may,304,unknown,1
yes,unknown,may,241,unknown,1
yes,unknown,may,230,unknown,1
no,unknown,may,262,unknown,1
yes,unknown,may,392,unknown,1
no,unknown,may,201,unknown,1
yes,unknown,may,145,unknown,1
yes,unknown,may,252,unknown,1
yes,unknown,may,235,unknown,1
yes,unknown,may,235,unknown,1
yes,unknown,may,328,unknown,1
yes,unknown,may,116,unknown,1
yes,unknown,may,246,unknown,1
yes,unknown,may,293,unknown,1
yes,unknown,may,37,unknown,1
yes,unknown,may,132,unknown,1
yes,unknown,may,530,unknown,1
yes,unknown,may,175,unknown,1
yes,unknown,may,524,unknown,1
yes,unknown,may,29,unknown,1
yes,unknown,may,311,unknown,1
yes,unknown,may,211,unknown,1
yes,unknown,may,312,unknown,1
yes,unknown,may,412,unknown,1
yes,unknown,may,392,unknown,1
yes,unknown,may,191,unknown,1
no,unknown,may,284,unknown,1
yes,unknown,may,144,unknown,1
yes,unknown,may,328,unknown,1
yes,unknown,may,100,unknown,1
yes,unknown,may,226,unknown,1
yes,unknown,may,507,unknown,1
yes,unknown,may,392,unknown,1
yes,unknown,may,684,unknown,1
yes,unknown,may,333,unknown,1
yes,unknown,may,311,unknown,1
yes,unknown,may,128,unknown,1
yes,unknown,may,322,unknown,1
yes,unknown,may,202,unknown,1
yes,unknown,may,92,unknown,1
yes,unknown,may,739,unknown,1
yes,unknown,may,273,unknown,1
yes,unknown,may,260,unknown,1
yes,unknown,may,268,unknown,1
yes,unknown,may,396,unknown,1
yes,unknown,may,262,unknown,1
yes,unknown,may,308,unknown,1
yes,unknown,may,467,unknown,1
yes,unknown,may,320,unknown,1
yes,unknown,may,160,unknown,1
yes,unknown,may,245,unknown,1
yes,unknown,may,189,unknown,1
yes,unknown,may,477,unknown,1
yes,unknown,may,310,unknown,1
yes,unknown,may,65,unknown,1
yes,unknown,may,196,unknown,1
yes,unknown,may,221,unknown,1
yes,unknown,may,197,unknown,1
yes,unknown,may,221,unknown,1
yes,unknown,may,64,unknown,1
yes,unknown,may,75,unknown,1
yes,unknown,may,400,unknown,1
yes,unknown,may,378,unknown,1
yes,unknown,may,118,unknown,1
yes,unknown,may,1597,unknown,2
yes,unknown,may,346,unknown,1
yes,unknown,may,60,unknown,1
yes,unknown,may,276,unknown,1
yes,unknown,may,152,unknown,1
yes,unknown,may,251,unknown,1
yes,unknown,may,390,unknown,1
yes,unknown,may,306,unknown,1
no,unknown,may,189,unknown,1
yes,unknown,may,125,unknown,1
yes,unknown,may,234,unknown,1
no,unknown,may,79,unknown,1
yes,unknown,may,13,unknown,1
yes,unknown,may,283,unknown,1
yes,unknown,may,109,unknown,1
yes,unknown,may,132,unknown,1
yes,unknown,may,144,unknown,1
yes,unknown,may,121,unknown,1
yes,unknown,may,95,unknown,1
yes,unknown,may,31,unknown,1
yes,unknown,may,112,unknown,1
yes,unknown,may,87,unknown,1
yes,unknown,may,593,unknown,1
yes,unknown,may,99,unknown,1
yes,unknown,may,198,unknown,1
yes,unknown,may,285,unknown,1
yes,unknown,may,190,unknown,1
yes,unknown,may,172,unknown,1
yes,unknown,may,213,unknown,1
yes,unknown,may,178,unknown,1
yes,unknown,may,174,unknown,1
yes,unknown,may,631,unknown,1
yes,unknown,may,176,unknown,1
yes,unknown,may,32,unknown,1
yes,unknown,may,1529,unknown,1
yes,unknown,may,254,unknown,1
yes,unknown,may,200,unknown,1
yes,unknown,may,135,unknown,1
yes,unknown,may,112,unknown,1
yes,unknown,may,314,unknown,1
yes,unknown,may,597,unknown,1
yes,unknown,may,207,unknown,1
yes,unknown,may,410,unknown,1
no,unknown,may,160,unknown,1
yes,unknown,may,42,unknown,1
yes,unknown,may,55,unknown,1
yes,unknown,may,155,unknown,1
yes,unknown,may,336,unknown,1
yes,unknown,may,233,unknown,1
yes,unknown,may,211,unknown,1
yes,unknown,may,88,unknown,1
yes,unknown,may,208,unknown,1
no,unknown,may,305,unknown,1
yes,unknown,may,206,unknown,1
yes,unknown,may,128,unknown,1
yes,unknown,may,122,unknown,1
yes,unknown,may,66,unknown,1
yes,unknown,may,66,unknown,1
yes,unknown,may,164,unknown,1
no,unknown,may,343,unknown,1
yes,unknown,may,126,unknown,1
yes,unknown,may,59,unknown,1
yes,unknown,may,249,unknown,1
yes,unknown,may,406,unknown,1
yes,unknown,may,250,unknown,1
yes,unknown,may,183,unknown,1
no,unknown,may,190,unknown,1
yes,unknown,may,220,unknown,1
yes,unknown,may,153,unknown,1
no,unknown,may,95,unknown,1
yes,unknown,may,191,unknown,1
yes,unknown,may,216,unknown,1
yes,unknown,may,89,unknown,1
no,unknown,may,51,unknown,1
yes,unknown,may,169,unknown,1
yes,unknown,may,148,unknown,1
yes,unknown,may,132,unknown,1
yes,unknown,may,117,unknown,1
yes,unknown,may,275,unknown,1
yes,unknown,may,124,unknown,1
yes,unknown,may,118,unknown,1
yes,unknown,may,479,unknown,1
yes,unknown,may,285,unknown,1
yes,unknown,may,35,unknown,1
yes,unknown,may,322,unknown,1
yes,unknown,may,202,unknown,1
no,unknown,may,172,unknown,1
yes,unknown,may,201,unknown,1
yes,unknown,may,216,unknown,1
yes,unknown,may,195,unknown,1
yes,unknown,may,96,unknown,1
yes,unknown,may,720,unknown,1
yes,unknown,may,188,unknown,1
no,unknown,may,70,unknown,1
yes,unknown,may,141,unknown,1
yes,unknown,may,106,unknown,1
yes,unknown,may,395,unknown,1
yes,unknown,may,629,unknown,1
yes,unknown,may,502,unknown,1
yes,unknown,may,446,unknown,1
yes,unknown,may,241,unknown,1
yes,unknown,may,131,unknown,1
yes,unknown,may,312,unknown,1
yes,unknown,may,275,unknown,1
yes,unknown,may,120,unknown,1
yes,unknown,may,333,unknown,1
no,unknown,may,113,unknown,1
yes,unknown,may,91,unknown,1
yes,unknown,may,128,unknown,1
yes,unknown,may,200,unknown,1
no,unknown,may,326,unknown,1
yes,unknown,may,292,unknown,1
yes,unknown,may,68,unknown,1
yes,unknown,may,215,unknown,1
yes,unknown,may,97,unknown,1
no,unknown,may,32,unknown,1
yes,unknown,may,162,unknown,1
yes,unknown,may,152,unknown,1
yes,unknown,may,268,unknown,1
yes,unknown,may,104,unknown,1
no,unknown,may,852,unknown,1
yes,unknown,may,923,unknown,1
yes,unknown,may,159,unknown,1
yes,unknown,may,953,unknown,1
no,unknown,may,416,unknown,1
yes,unknown,may,174,unknown,1
yes,unknown,may,180,unknown,1
yes,unknown,may,139,unknown,1
yes,unknown,may,294,unknown,1
yes,unknown,may,102,unknown,1
yes,unknown,may,124,unknown,1
yes,unknown,may,128,unknown,1
